State,Population
CA,39776830
TX,28704330
FL,21312211
NY,19862512
PA,12823989
IL,12768320
OH,11694664
GA,10545138
NC,10390149
MI,9991177
NJ,9032872
VA,8525660
WA,7530552
AZ,7123898
MA,6895917
TN,6782564
IN,6699629
MO,6135888
MD,6079602
WI,5818049
CO,5684203
MN,5628162
SC,5088916
AL,4888949
LA,4682509
KY,4472265
OR,4199563
OK,3940521
CT,3588683
IA,3160553
UT,3159345
NV,3056824
AR,3020327
MS,2982785
KS,2918515
NM,2090708
NE,1932549
WV,1803077
ID,1753860
HI,1426393
NH,1350575
ME,1341582
MT,1062330
RI,1061712
DE,971180
SD,877790
ND,755238
AK,738068
DC,703608
VT,623960
WY,573720